No Self Issue,Commodity,Power Unit,Trailer,Allow Jeep,Allow Booster,LMN - Width,LMN - Height,LMN - Length,KTN - Width,KTN - Height,KTN - Length,PCE - Width,PCE - Height,PCE - Length,BCD - Width,BCD - Height,BCD - Length,ORBC FP,ORBC RP,"Policy Ref"
,"Auto Carrier, Campers And Boats (Stinger Steered Transporters Only)",Truck Tractors - Stinger Steered,Semi-Trailers - Stinger Steered Automobile Transporters,,,,4.3,25,,4.3,25,,4.88,25,,4.4,25,1,1.2,4.2.7.A.1/4.2.7.B.A/ 5.3.11
,Bridge Beams,Truck Tractors,Pole Trailers,X,,,,31,,,31,,,31,,,31,3,6.5,4.5.5
,Bridge Beams,Truck Tractors,Semi-Trailers,,,,,31,,,31,,,31,,,31,3,6.5,4.2.7.A.13
,Bridge Beams,Truck Tractors,Steering Dolly,,,,,36,,,36,,,36,,,36,3,6.5,5.3.12.F
,Brushcutters (Peace Only),Truck Tractors,Semi-Trailers,,,,,,,,,4.57,5.33,,,,,3,6.5,4.2.7.B.B
,Brushcutters (Peace Only),Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,,,,,,,4.57,5.33,,,,,3,6.5,4.2.7.B.B
,Brushcutters (Peace Only),Trucks,None,,,,,,,,,4.57,5.33,,,,,,,4.2.7.B.B
,Brushcutters (Peace Only),Trucks,Pony Trailers,,,,,,,,,3.8,5.33,,,,,,,4.2.7.B.B/5.3.12.G
,Doglogger/Sjostrum Trailers (decked),Truck Tractors,None,,,,,13.5,,,13.5,,,13.5,,,13.5,,5,4.2.7.A.13
,Empty,Truck Tractors,Logging Trailer - Overwidth Bunks,,,3.2,,,3.2,,,3.2,,,3.2,,,0,0,5.3.5.B
,Empty,Picker Truck Tractors,Oil and Gas - Oversize Oilfield Flat Deck Semi-Trailers,X,X,3.2,4.15,23,3.2,4.15,23,3.2,4.15,23,3.2,4.15,23,3,6.5,5.3.8.B.
X,Empty,Picker Truck Tractors,Platform Trailers,X,X,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,,,
,Empty,Picker Truck Tractors,Semi-Trailers - Hiboys/Expandos,X,X,,4.15,,,4.15,,,4.15,27.5,,4.15,25,3,6.5,5.3.9.A./5.3.9.B.
X,Empty,Picker Truck Tractors,Semi-Trailers - Wheelers,X,X,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,,,
X,Empty,Picker Truck Tractors,Semi-Trailers - Wide Wheelers,X,X,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,,,
,Empty,Picker Truck,Pony Trailers,,,2.6,4.15,23,2.6,4.15,23,2.6,4.15,23,2.6,4.15,23,,,5.3.9.A
X,Empty,Truck Tractors,Platform Trailers,X,X,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,3.2,4.15,27.5,,,
,Empty,Truck Tractors,Semi-Trailers - Hiboys/Expandos,X,X,,4.15,31,,,31,,,31,,,31,3,6.5,5.3.12.C.
,Empty,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,,4.15,27.5,,,27.5,,,27.5,,,27.5,3,6.5,5.3.12.B.
,Empty,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,3.2,4.15,31,3.2,,31,3.2,,31,3.2,,31,3,6.5,5.3.12.A.
X,Empty,Truck Tractors,Semi-Trailers - Wheelers,X,X,3.2,4.15,27.5,3.2,4.88,27.5,3.2,5.33,27.5,3.2,4.88,27.5,,,
X,Empty,Truck Tractors,Semi-Trailers - Wide Wheelers,X,X,3.2,4.15,27.5,3.2,4.88,27.5,3.2,5.33,27.5,3.2,4.88,27.5,,,
,Fixed Equipment,Truck Tractors,Fixed Equipment - Conveyors (Semi-Trailers),X,X,3.8,4.72,,3.8,4.72,,3.8,5.33,,3.8,4.72,,4,9.5,5.3.4.F.
,Fixed Equipment,Truck Tractors,Fixed Equipment - Counter Flow Asphalt Drum Mixers,X,X,3.8,4.72,,3.8,4.72,,3.8,5.33,,3.8,4.72,,3,6.5,5.3.4.D.
,Fixed Equipment,Truck Tractors,Fixed Equipment - Portable Asphalt Baghouses,X,X,4.26,4.72,,4.26,4.72,,4.26,5.33,,4.26,4.72,,3,6.5,5.3.4.E.
,Fixed Equipment,Truck Tractors,Fixed Equipment - Semi-Trailers,X,X,3.8,4.72,,3.8,4.72,,3.8,5.33,,3.8,4.72,,3,6.5,5.3.4.A.
X,Fixed Equipment,Truck Tractors,Fixed Equipment - Wheeler Semi-Trailers,X,X,3.8,4.72,,3.8,4.72,,3.8,5.33,,3.8,4.72,,3,6.5,5.3.4.B.
,Fixed Equipment,Trucks,Fixed Equipment - Conveyors (Pony Trailers),,,3.2,4.3,,3.2,4.3,,3.2,4.3,,3.2,4.3,,4,9.5,5.3.4.F.
,Fixed Equipment,Trucks,Fixed Equipment - Counter Flow Asphalt Drum Mixers,,,3.8,4.72,,3.8,4.72,,3.8,5.33,,3.8,4.72,,3,6.5,5.3.4.D.
,Fixed Equipment,Trucks,Fixed Equipment - Pony Trailers,,,3.2,4.3,,3.2,4.3,,3.2,4.3,,3.2,4.3,,,4,5.3.4.C.
,Fixed Equipment,Trucks,Fixed Equipment - Portable Asphalt Baghouses,,,4.26,4.72,,4.26,4.72,,4.26,4.72,,4.26,4.72,,3,6.5,5.3.4.E.
,Garbage Bins,Trucks,Full Trailers,,,,,,,,,,,,,,,3,6.5,4.2.7.A.7
,Garbage Bins,Trucks,None,,,,,,,,,,,,,,,3,6.5,4.2.7.A.7
,Garbage Bins,Trucks,Pony Trailers,,,,,,,,,,,,,,,3,6.5,4.2.7.A.7
,"Grader, Tractor Blades, Buckets",Fixed Equipment - Trucks/Graders etc.,None,,,4.4,,,4.4,,,4.4,,,4.4,,,,,4.2.7.B.C
,Hay Bales (Round) Peace River Only,Truck Tractors,Semi-Trailers - A-Trains and C-Trains,,,3.5,4.3,26,3.5,4.3,26,3.84,4.8,26,3.5,4.3,26,,,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Truck Tractors,Semi-Trailers - B-Trains,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,3,6.5,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,3,6.5,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Trucks,Full Trailers,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,4,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Trucks,None,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,,4.2.7.A.8/4.4.2
,Hay Bales (Round) Peace River Only,Trucks,Pony Trailers,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,4,4.2.7.A.8/4.4.2
,Hay Bales Large Rectangular,Truck Tractors,Semi-Trailers - A-Trains and C-Trains,,,3.05,4.3,26,3.05,4.3,26,3.05,4.8,26,3.05,4.3,26,,,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Truck Tractors,Semi-Trailers - B-Trains,,,3.05,4.3,27.5,3.05,4.3,27.5,3.05,4.8,27.5,3.05,4.3,27.5,,,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.4,,3,6.5,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,3,6.5,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Trucks,Full Trailers,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,4,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Trucks,None,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,,4.2.7.A.8/4.4.1
,Hay Bales Large Rectangular,Trucks,Pony Trailers,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,4,4.2.7.A.8/4.4.1
,Hay Bales Round,Truck Tractors,Semi-Trailers - A-Trains and C-Trains,,,3.5,4.3,26,3.5,4.3,26,3.84,4.8,26,3.5,4.3,26,,,4.2.7.A.8/4.4.2
,Hay Bales Round,Truck Tractors,Semi-Trailers - B-Trains,,,3.5,4.3,27.5,3.5,4.3,27.5,3.84,4.8,27.5,3.5,4.3,27.5,,,4.2.7.A.8/4.4.2
,Hay Bales Round,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,3,6.5,4.2.7.A.8/4.4.2
,Hay Bales Round,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,3,6.5,4.2.7.A.8/4.4.2
,Hay Bales Round,Trucks,Full Trailers,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,4,4.2.7.A.8/4.4.2
,Hay Bales Round,Trucks,None,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,,4.2.7.A.8/4.4.2
,Hay Bales Round,Trucks,Pony Trailers,,,3.5,4.3,,3.5,4.3,,3.84,4.8,,3.5,4.3,,,4,4.2.7.A.8/4.4.2
,Hay Bales Small Rectangular,Truck Tractors,Semi-Trailers - A-Trains and C-Trains,,,3.05,4.3,26,3.05,4.3,26,3.05,4.8,26,3.05,4.3,26,,,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Truck Tractors,Semi-Trailers - B-Trains,,,3.05,4.3,27.5,3.05,4.3,27.5,3.05,4.8,27.5,3.05,4.3,27.5,,,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,3,6.5,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,3,6.5,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Trucks,Full Trailers,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,4,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Trucks,None,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,,4.2.7.A.8/4.4.1
,Hay Bales Small Rectangular,Trucks,Pony Trailers,,,3.05,4.3,,3.05,4.3,,3.05,4.8,,3.05,4.3,,,4,4.2.7.A.8/4.4.1
,Hayrack Semi-Trailer with a Folded Chassis/Empty Piggyback,Truck Tractors,Semi-Trailers - Logging,,,,,,,,,,,,,,,,5,4.5.6.E.
,Intermodal Containers,Truck Tractors,Semi-Trailers - A-Trains and C-Trains,,,,4.4,26,,4.4,26,,4.4,26,,4.4,26,,,4.2.7.A.9
,Intermodal Containers,Truck Tractors,Semi-Trailers - B-Trains,,,,4.4,27.5,,4.4,27.5,,4.4,27.5,,4.4,27.5,,,4.2.7.A.9
,Intermodal Containers,Truck Tractors,Semi-Trailers - Hiboys/Flat Decks,X,X,,4.4,,,4.4,,,4.4,,,4.4,,,,4.2.7.A.9
,Intermodal Containers,Trucks,None,,,,4.4,,,4.4,,,4.4,,,4.4,,,,4.2.7.A.9
,Intermodal Containers without Sides,Truck Tractors,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,4.4,4.72,,4.4,4.72,,4.4,4.72,,4.4,4.72,,,,4.2.7.10/4.2.7.B.D.
,Laminated Beams,Truck Tractors,Pole Trailers,X,X,,,40,,,40,,,40,,,40,3,6.5,4.5.3
,Laminated Beams,Truck Tractors,Semi-Trailers - Hiboys/Expandos,X,X,,,31,,,31,,,31,,,31,3,6.5,4.5.3
