,"Auto Carrier, Campers And Boats (Stinger Steered Transporters Only)",Truck Tractors - Stinger Steered,Mandatory,Semi-Trailers - Stinger Steered Automobile Transporters,,,2.6,4.3,25,2.6,4.3,25,2.6,4.88,25,2.6,4.4,25,1,1.2,4.2.7.A.1/4.2.7.B.A/ 5.3.11,,"Loaded dimensions used, equipment itself is less",FP and RP points can vary in CTPM (i.e. rear projection can be from turn centre or bumper or sometimes bunk!)
,Bridge Beams,Truck Tractors,Mandatory,Pole Trailers,X,,2.6,4.15,31,2.6,4.15,31,2.6,4.15,31,2.6,4.15,31,3,6.5,4.5.5/5.3.12.F.(over 31m use Non-Reducible with Semi-Trailers - Steering Trailers),,"OAL could be greater with steering trailers, do we need two categories?",
,Brushcutters (Peace Only),Truck Tractors,Mandatory,Semi-Trailers,,,2.6,4.15,23,2.6,4.15,23,4.57,5.33,23,2.6,4.15,23,3,6.5,4.2.7.B.B,,tractor semi-trailer could be 23.5 if a tridem ,
,Brushcutters (Peace Only),Truck Tractors,Mandatory,"Semi-Trailers - Single Drop, Double Drop, Step Decks, Lowbed, Expandos, etc.",X,X,2.6,4.15,23,2.6,4.15,23,4.57,5.33,23,2.6,4.15,23,3,6.5,4.2.7.B.B,,,
,Brushcutters (Peace Only),Trucks,Mandatory,Full Trailers,,,2.6,4.15,23,2.6,4.15,23,4.57,5.33,23,2.6,4.15,23,1,1,4.2.7.B.B,,,
,Brushcutters (Peace Only),Trucks,Prohibited,None,,,2.6,4.15,12.5,2.6,4.15,12.5,4.57,5.33,12.5,2.6,4.15,12.5,1,1,4.2.7.B.B,,,
,Brushcutters (Peace Only),Trucks,Mandatory,Pony Trailers,,,2.6,4.15,23,2.6,4.15,23,3.8,5.33,23,2.6,4.15,23,1,1,4.2.7.B.B/5.3.12.G,,,
,Doglogger/Sjostrum Trailers (decked),Truck Tractors,Mandatory,None,,,2.6,4.15,13.5,2.6,4.15,13.5,2.6,4.15,13.5,2.6,4.15,13.5,1,5,4.2.7.A.13,,,
,Empty,Truck Tractors,Mandatory,Logging Trailer - Overwidth Bunks,,,3.2,4.15,23,3.2,4.15,23,3.2,4.15,23,3.2,4.15,23,0,0,5.3.5.B,,,
,Empty,Picker Truck Tractors,Mandatory,Oil and Gas - Oversize Oilfield Flat Deck Semi-Trailers,X,X,3.2,4.3,23,3.2,4.3,23,3.2,4.3,23,3.2,4.3,23,3,6.5,5.3.8.B.,,,
